@relation 'all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C20-L5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea4 + a5 + a6 + a7-NNumber legal actions-weka.filters.unsupervised.attribute.NumericToNominal-R23-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6,7-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action North-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action South-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action East-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action West-R7-weka.filters.unsupervised.attribute.AddExpression-Ea16 + a17 + a18 + a19-NTotal distance to ghosts-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a21 > 620, 1, 0)-NHigh score-weka.filters.unsupervised.attribute.NumericToNominal-R25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,20-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,24,20,21,22,23,25-weka.filters.unsupervised.attribute.Remove-R21-22-weka.filters.unsupervised.attribute.Remove-R21'

@attribute Tick numeric
@attribute 'Pacman position X' numeric
@attribute 'Pacman position Y' numeric
@attribute 'Legal action North' {0,1}
@attribute 'Legal action South' {0,1}
@attribute 'Legal action East' {0,1}
@attribute 'Legal action West' {0,1}
@attribute 'Ghosts position 1 X' numeric
@attribute 'Ghosts position 1 Y' numeric
@attribute 'Ghosts position 2 X' numeric
@attribute 'Ghosts position 2 Y' numeric
@attribute 'Ghosts position 3 X' numeric
@attribute 'Ghosts position 3 Y' numeric
@attribute 'Ghosts position 4 X' numeric
@attribute 'Ghosts position 4 Y' numeric
@attribute 'Distance to ghost 1' numeric
@attribute 'Distance to ghost 2' numeric
@attribute 'Distance to ghost 3' numeric
@attribute 'Distance to ghost 4' numeric
@attribute 'Current score' numeric
@attribute 'High score' {0,1}
@attribute 'Pacman direction' {North,South,East,West,Stop}

@data
3,10,12,1,1,1,1,1,14,2,3,6,8,12,3,11,17,8,10,-2,0,East
4,11,12,1,1,1,1,1,14,1,3,6,9,11,3,12,19,8,10,-3,0,East
5,11,11,1,1,1,1,2,14,1,3,5,9,12,3,12,18,8,8,-4,0,South
6,11,10,1,1,1,1,1,14,2,3,5,8,11,3,14,16,8,6,-5,0,South
7,11,9,1,1,1,1,1,14,2,3,5,7,11,4,15,15,8,6,-6,0,South
8,10,9,1,1,1,1,1,14,2,3,5,7,11,3,14,14,7,6,-7,0,West
9,9,9,0,1,1,1,1,14,1,3,5,6,11,4,13,14,7,7,-8,0,West
10,9,8,1,0,1,1,1,13,2,3,5,5,11,4,13,12,7,6,-9,0,South
11,9,8,1,0,1,1,1,14,2,3,5,6,11,4,14,12,6,6,-10,0,South
12,8,8,1,1,1,1,2,14,3,3,5,5,11,4,12,10,6,8,-11,0,West
13,7,8,1,1,1,1,3,14,2,3,5,6,12,4,10,10,4,8,-12,0,West
14,7,7,1,1,1,1,4,14,1,3,5,6,11,4,10,10,3,6,-13,0,South
15,7,6,1,0,1,1,4,14,2,3,5,7,11,5,11,8,3,5,-14,0,South
16,6,6,1,1,1,1,3,14,3,3,5,8,11,5,11,6,3,7,-15,0,West
17,5,6,1,1,1,1,3,14,3,4,6,8,12,5,10,4,3,8,-16,0,West
18,4,6,0,1,1,1,3,13,3,4,6,9,12,5,8,3,5,10,-17,0,West
19,3,6,0,1,1,1,3,14,4,4,6,8,13,5,8,3,5,12,-18,0,West
20,4,6,0,1,1,1,3,14,3,4,5,8,14,5,9,3,3,10,-19,0,East
21,5,6,1,1,1,1,3,13,4,4,4,8,13,5,9,3,3,10,-20,0,East
22,5,7,1,1,1,0,2,13,4,3,4,8,13,4,9,5,2,11,-21,0,North
23,5,8,1,1,1,1,1,13,4,4,4,8,13,4,9,5,1,12,-22,0,North
24,4,8,1,0,1,1,2,13,4,5,5,1,13,4,7,3,?,12,177,0,West
25,4,9,0,1,1,1,3,13,3,5,5,1,12,4,5,5,?,14,176,0,North
26,4,9,0,1,1,1,3,13,3,6,5,1,13,4,5,4,?,13,175,0,North
27,5,9,0,1,1,1,3,13,4,6,5,1,13,5,6,4,?,11,174,0,East
28,6,9,0,1,1,1,2,13,3,6,5,1,12,5,8,6,?,11,173,0,East
29,7,9,0,1,1,1,2,14,3,6,5,1,13,5,10,7,?,11,172,0,East
30,8,9,0,1,1,1,2,14,3,5,5,1,14,5,11,9,?,10,171,0,East
