@relation all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost 1' numeric
@attribute 'South ghost 1' numeric
@attribute 'East ghost 1' numeric
@attribute 'West ghost 1' numeric
@attribute 'North ghost 2' numeric
@attribute 'South ghost 2' numeric
@attribute 'East ghost 2' numeric
@attribute 'West ghost 2' numeric
@attribute 'North ghost 3' numeric
@attribute 'South ghost 3' numeric
@attribute 'East ghost 3' numeric
@attribute 'West ghost 3' numeric
@attribute 'North ghost 4' numeric
@attribute 'South ghost 4' numeric
@attribute 'East ghost 4' numeric
@attribute 'West ghost 4' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,False,True,True,11,?,13,11,17,?,15,17,6,?,4,6,12,?,10,12,South,-1,-2
True,True,True,True,11,13,13,11,15,13,15,15,6,4,6,6,12,10,10,12,East,-2,-3
True,True,True,False,13,15,15,?,14,12,14,?,5,3,5,?,11,9,9,?,South,-3,-4
True,True,True,True,13,15,15,15,13,11,13,11,3,3,3,1,9,7,7,9,South,-4,195
False,True,True,True,?,16,14,16,?,9,11,9,?,?,?,?,?,7,7,9,West,195,194
True,False,True,True,16,?,16,18,11,?,11,9,?,?,?,?,7,?,5,7,South,194,193
True,True,True,True,14,16,16,16,11,11,11,9,?,?,?,?,5,3,3,5,East,193,192
True,True,True,False,14,16,16,?,11,13,13,?,?,?,?,?,5,3,3,?,South,192,191
True,True,True,False,14,16,16,?,12,14,14,?,?,?,?,?,3,3,1,?,South,191,190
True,True,True,True,16,18,18,16,13,15,15,13,?,?,?,?,1,3,1,3,East,190,189
True,True,True,True,15,17,17,15,11,13,13,11,?,?,?,?,3,3,1,3,North,189,388
False,True,True,True,?,18,18,16,?,15,15,13,?,?,?,?,?,2,0,2,East,388,387
True,True,True,True,15,17,17,15,13,15,15,13,?,?,?,?,?,?,?,?,West,387,386
True,True,False,True,14,16,?,14,13,13,?,11,?,?,?,?,?,?,?,?,North,386,385
True,True,True,True,12,14,14,14,13,13,13,11,?,?,?,?,?,?,?,?,West,385,384
True,False,True,True,13,?,13,15,12,?,12,10,?,?,?,?,?,?,?,?,West,384,383
True,True,True,True,15,17,15,17,10,8,10,8,?,?,?,?,?,?,?,?,West,383,382
True,True,False,True,16,18,?,18,10,8,?,8,?,?,?,?,?,?,?,?,South,382,381
