@relation distance_raw_data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost' numeric
@attribute 'South ghost' numeric
@attribute 'East ghost' numeric
@attribute 'West ghost' numeric
@attribute 'North dot' numeric
@attribute 'South dot' numeric
@attribute 'East dot' numeric
@attribute 'West dot' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,False,True,True,6,?,4,6,9,?,7,9,South,-3,-4
True,True,True,True,5,3,3,5,7,5,7,7,East,-4,-5
True,True,True,False,4,2,2,?,7,5,7,?,South,-5,-6
True,True,True,True,3,3,1,3,6,4,6,4,South,-6,-7
False,True,True,True,?,4,2,4,?,4,6,4,West,-7,-8
False,True,True,True,?,5,3,5,?,2,4,2,West,-8,-9
True,True,True,True,4,6,4,6,2,4,4,2,South,-9,-10
True,True,True,True,5,7,5,7,0,2,2,2,West,-10,-11
True,True,True,True,7,5,7,5,2,2,0,2,West,-11,-12
False,True,True,True,?,7,5,7,?,2,2,4,North,-12,-13
False,True,True,True,?,6,4,6,?,0,2,2,East,-13,-14
False,True,True,True,?,5,3,5,?,2,4,2,East,-14,-15
True,True,True,True,4,6,4,6,2,4,4,2,South,-15,-16
True,True,True,True,5,7,5,7,2,2,2,0,West,-16,183
True,True,True,True,7,5,7,5,6,4,6,4,West,183,182
False,True,True,True,?,7,5,7,?,4,6,4,North,182,181
False,True,True,True,?,5,7,7,?,4,6,6,West,181,180
False,True,True,True,?,6,6,8,?,4,4,6,West,180,179
True,True,True,True,9,7,7,9,6,4,4,6,West,179,178
True,True,True,True,10,8,8,10,8,6,6,8,West,178,177
True,True,True,True,11,9,9,11,10,8,8,10,North,177,276
False,True,True,True,?,11,11,13,?,8,8,10,North,276,275
True,True,True,True,12,10,10,12,10,8,8,10,South,275,274
True,True,True,True,11,11,9,11,9,7,7,9,South,274,273
True,True,True,True,10,10,8,10,9,7,7,9,East,273,272
False,True,True,True,?,9,7,9,?,7,7,9,East,272,271
False,True,True,True,?,8,6,8,?,6,6,8,East,271,270
False,True,True,True,?,7,5,7,?,4,6,6,East,270,269
True,True,True,True,6,8,6,8,6,4,6,4,South,269,268
True,True,True,True,7,9,7,9,6,4,6,4,South,268,267
True,True,True,True,8,10,8,10,5,3,5,3,South,267,266
True,True,False,True,9,11,?,11,3,3,?,1,South,266,265
True,True,True,True,10,12,10,12,3,3,3,1,West,265,464
True,True,True,True,11,13,11,13,10,12,10,12,West,464,463
True,True,True,True,10,12,10,12,10,12,10,12,East,463,462
True,True,False,True,9,11,?,11,10,12,?,12,East,462,461
True,True,False,True,9,11,?,11,10,12,?,12,East,461,460
True,False,True,True,10,?,12,12,11,?,13,13,South,460,459
False,False,True,True,?,?,13,11,?,?,13,11,East,459,558
False,False,False,True,?,?,?,23,?,?,?,13,East,558,557
False,False,True,True,?,?,24,22,?,?,13,11,West,557,556
True,False,True,True,21,?,23,23,9,?,11,11,West,556,555
True,True,False,True,20,22,?,22,9,11,?,11,North,555,554
True,True,True,True,19,21,19,21,7,9,7,9,North,554,553
True,True,True,True,18,20,18,20,5,7,5,7,North,553,552
True,True,True,True,17,19,17,19,6,6,4,6,North,552,551
True,True,True,True,16,18,16,18,4,6,4,6,East,551,550
True,True,True,True,15,17,15,17,4,4,2,4,East,550,549
True,False,True,True,14,?,14,16,3,?,1,3,East,549,748
True,True,True,True,13,15,15,15,13,15,15,15,East,748,747
True,True,False,True,14,16,?,14,14,16,?,14,East,747,746
True,True,True,True,13,15,15,13,12,14,14,12,North,746,745
True,True,True,True,12,14,14,12,10,12,12,10,North,745,744
True,True,True,True,13,15,15,13,12,14,14,12,East,744,743
True,True,True,True,14,16,16,14,13,15,15,13,East,743,742
True,True,True,True,13,15,15,13,13,15,15,13,North,742,741
True,True,True,True,12,14,14,12,13,15,15,13,North,741,740
True,True,True,True,11,13,13,11,11,13,13,11,North,740,839
False,True,True,True,?,?,?,?,?,12,12,10,North,839,838
False,True,True,True,?,?,?,?,?,11,11,9,West,838,837
False,True,True,True,?,?,?,?,?,11,11,9,West,837,836
False,True,True,True,?,?,?,?,?,11,11,9,West,836,835
False,True,True,True,?,?,?,?,?,9,9,7,West,835,834
False,True,True,True,?,?,?,?,?,8,8,6,West,834,833
False,False,True,True,?,?,?,?,?,?,7,5,West,833,832
False,False,True,True,?,?,?,?,?,?,7,5,West,832,831
False,False,True,True,?,?,?,?,?,?,5,3,West,831,830
False,False,True,True,?,?,?,?,?,?,3,1,West,830,829
True,True,True,True,6,4,4,6,10,8,10,10,East,-3,-4
True,True,True,True,5,3,3,5,11,9,11,11,East,-4,-5
True,True,True,True,6,4,4,6,11,9,11,11,West,-5,-6
True,True,True,True,7,5,5,7,8,10,10,8,North,-6,-7
False,True,True,True,?,6,6,8,?,10,10,8,North,-7,-8
False,True,True,True,?,5,5,7,?,11,11,9,East,-8,-9
False,True,True,True,?,4,6,6,?,11,11,9,East,-9,90
False,True,True,True,?,5,7,5,?,13,13,11,East,90,89
False,True,False,True,?,6,?,6,?,14,?,12,East,89,88
False,True,True,True,?,5,7,5,?,13,13,11,West,88,87
False,True,True,True,?,4,6,6,?,11,11,9,West,87,86
False,True,True,True,?,5,5,7,?,9,9,7,West,86,85
False,True,True,True,?,6,6,8,?,8,8,6,West,85,84
False,True,True,True,?,7,7,9,?,6,6,4,West,84,83
